"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C14","0603_C","2.921mm","24.638mm","2.921mm","24.638mm","2.921mm","23.868mm","B","90","100nF"
"C13","1206_C","4.953mm","30.099mm","4.953mm","30.099mm","4.953mm","31.589mm","B","270","10μF"
"C12","1206_C","4.953mm","25.4mm","4.953mm","25.4mm","4.953mm","23.91mm","B","90","10μF"
"C11","0402_C","14.859mm","30.988mm","14.859mm","30.988mm","14.859mm","30.563mm","B","90","10nF"
"C10","0603_C","10.922mm","-1.27mm","10.922mm","-1.27mm","10.152mm","-1.27mm","B","0","100nF"
"C9","1206_C","18.542mm","0.381mm","18.542mm","0.381mm","18.542mm","-1.109mm","B","90","10μF"
"C8","1206_C","18.542mm","5.283mm","18.542mm","5.3mm","18.542mm","6.79mm","B","270","10μF"
"C7","0603_C","3.556mm","4.445mm","3.556mm","4.445mm","3.556mm","5.215mm","B","270","100nF"
"C6","1206_C","-0.635mm","5.334mm","-0.635mm","5.334mm","-0.635mm","6.824mm","B","270","10μF"
"C5","1206_C","1.778mm","5.334mm","1.778mm","5.334mm","1.778mm","6.824mm","B","270","10μF"
"C4","0402_C","12.395mm","6.223mm","12.402mm","6.223mm","12.827mm","6.223mm","B","180","10nF"
"C3","0402_C","-0.102mm","26.543mm","-0.083mm","26.543mm","-0.508mm","26.543mm","B","0","1.0uF"
"C2","0402_C","-5.74mm","26.035mm","-5.759mm","26.035mm","-5.334mm","26.035mm","B","180","1.0uF"
"C1","0402_C","-5.08mm","29.718mm","-5.08mm","29.718mm","-5.08mm","30.143mm","B","270","100nF"
